Feature,Coefficient,Importance
"Skills_Machine Learning, Deep Learning, SQL, Python",-0.39207668852916405,0.39207668852916405
"Skills_Cybersecurity, Linux, Ethical Hacking",-0.3873047899538692,0.3873047899538692
"Skills_Python, Pytorch, TensorFlow",-0.383129165233621,0.383129165233621
"Skills_Deep Learning, Machine Learning, Python",-0.38169830666974214,0.38169830666974214
Certifications_Deep Learning Specialization,0.3739706492639924,0.3739706492639924
"Skills_Python, Deep Learning, Machine Learning, SQL",0.36953956842556007,0.36953956842556007
Certifications_AWS Certified,0.3645281844424212,0.3645281844424212
"Skills_NLP, Python, Pytorch, TensorFlow",-0.3594351631338416,0.3594351631338416
"Skills_Cybersecurity, Networking, Ethical Hacking, Linux",-0.35234868290741045,0.35234868290741045
"Skills_Networking, Ethical Hacking",0.34643830950747273,0.34643830950747273
Job Role_Cybersecurity Analyst,-0.3436418456117738,0.3436418456117738
"Skills_Deep Learning, SQL, Machine Learning",-0.34023056859317957,0.34023056859317957
Education_PhD,0.3304982411181731,0.3304982411181731
"Skills_TensorFlow, NLP",0.32986498881321946,0.32986498881321946
"Skills_Machine Learning, Python",-0.3217517156709876,0.3217517156709876
"Skills_Pytorch, TensorFlow",0.3077875303636306,0.3077875303636306
"Skills_Python, NLP, TensorFlow",0.2989333750428174,0.2989333750428174
"Skills_Networking, Cybersecurity",0.2827229231056926,0.2827229231056926
"Skills_C++, Java",0.2812495727278359,0.2812495727278359
"Skills_SQL, C++, React",-0.27923357038989305,0.27923357038989305
"Skills_Pytorch, TensorFlow, NLP",0.2720141773163809,0.2720141773163809
Education_MBA,-0.27177019263378804,0.27177019263378804
Education_B.Tech,0.27042806693901306,0.27042806693901306
"Skills_Ethical Hacking, Cybersecurity",-0.2624650364177568,0.2624650364177568
"Skills_Networking, Linux",0.2601614510447891,0.2601614510447891
Projects Count,0.25915050476818846,0.25915050476818846
Certifications_Google ML,0.2590217928608689,0.2590217928608689
"Skills_Deep Learning, Python, SQL",-0.25477494641409915,0.25477494641409915
Job Role_AI Researcher,-0.23520107070017446,0.23520107070017446
"Skills_Deep Learning, Machine Learning",-0.2233461618928368,0.2233461618928368
"Skills_Cybersecurity, Networking, Linux",-0.2195203402007335,0.2195203402007335
"Skills_Ethical Hacking, Networking, Linux",-0.21597190618905926,0.21597190618905926
"Skills_Linux, Ethical Hacking, Cybersecurity",0.2058843112099986,0.2058843112099986
Job Role_Data Scientist,0.20140022114167766,0.20140022114167766
"Skills_SQL, C++",0.19730673843613586,0.19730673843613586
Education_M.Tech,-0.19350107186286156,0.19350107186286156
Education_B.Sc,0.19267935924549495,0.19267935924549495
"Skills_Linux, Cybersecurity, Ethical Hacking",0.19050042408525786,0.19050042408525786
"Skills_Deep Learning, SQL",0.17779133474514905,0.17779133474514905
"Skills_React, SQL, Java, C++",0.17289100943721836,0.17289100943721836
"Skills_Python, Machine Learning, Deep Learning",-0.1675865950690803,0.1675865950690803
"Skills_SQL, Machine Learning, Python",0.16603541907777045,0.16603541907777045
"Skills_Pytorch, Python, TensorFlow",-0.15766080161545606,0.15766080161545606
"Skills_Linux, Cybersecurity",0.1492512952171044,0.1492512952171044
"Skills_NLP, TensorFlow, Python, Pytorch",-0.14796154809002188,0.14796154809002188
"Skills_Pytorch, Python",0.14423322316343515,0.14423322316343515
"Skills_Deep Learning, Python",0.141218057816065,0.141218057816065
"Skills_Cybersecurity, Networking",0.14099070930332608,0.14099070930332608
"Skills_Python, SQL, Machine Learning",-0.12037787477962034,0.12037787477962034
"Skills_Pytorch, Python, NLP",-0.11265330459517875,0.11265330459517875
Experience (Years),0.11032290521365432,0.11032290521365432
"Skills_Cybersecurity, Ethical Hacking, Linux",0.10900787266905193,0.10900787266905193
"Skills_Python, NLP, Pytorch",-0.10837489180864385,0.10837489180864385
"Skills_Pytorch, NLP, Python, TensorFlow",-0.10780996849600011,0.10780996849600011
"Skills_Machine Learning, Python, Deep Learning",-0.10384126237071464,0.10384126237071464
"Skills_SQL, C++, Java, React",-0.0972885563629013,0.0972885563629013
"Skills_Deep Learning, Python, Machine Learning, SQL",0.09711531000180255,0.09711531000180255
"Skills_SQL, Deep Learning, Machine Learning",0.0965285334702917,0.0965285334702917
"Skills_TensorFlow, Python, Pytorch, NLP",0.0964409926666989,0.0964409926666989
"Skills_Cybersecurity, Ethical Hacking, Networking, Linux",0.09588372487674533,0.09588372487674533
"Skills_Cybersecurity, Ethical Hacking, Linux, Networking",0.09561226857581394,0.09561226857581394
"Skills_Linux, Networking",0.09537536028850559,0.09537536028850559
"Skills_Networking, Ethical Hacking, Linux, Cybersecurity",0.09429723893421554,0.09429723893421554
"Skills_Ethical Hacking, Cybersecurity, Linux",-0.09267299928071988,0.09267299928071988
"Skills_Deep Learning, Machine Learning, SQL",-0.09064930360023767,0.09064930360023767
"Skills_TensorFlow, NLP, Python",0.08837717282419708,0.08837717282419708
"Skills_TensorFlow, Python",0.0857307358910072,0.0857307358910072
"Skills_Networking, Cybersecurity, Ethical Hacking, Linux",-0.08234558086679919,0.08234558086679919
"Skills_SQL, Java, React",-0.0795896743024418,0.0795896743024418
"Skills_Deep Learning, Python, SQL, Machine Learning",-0.07884931434902084,0.07884931434902084
"Skills_SQL, Python",0.07712560606938719,0.07712560606938719
"Skills_Machine Learning, SQL, Python, Deep Learning",-0.077052463982208,0.077052463982208
"Skills_TensorFlow, Python, NLP, Pytorch",0.0738329983514565,0.0738329983514565
"Skills_Deep Learning, Machine Learning, SQL, Python",0.0714246650960224,0.0714246650960224
"Skills_Ethical Hacking, Networking, Cybersecurity",0.06925694612886603,0.06925694612886603
"Skills_TensorFlow, Pytorch",0.06740861548481629,0.06740861548481629
"Skills_Python, Deep Learning, SQL, Machine Learning",-0.06738341311657862,0.06738341311657862
"Skills_Java, React, C++",0.06686773029820939,0.06686773029820939
"Skills_Linux, Cybersecurity, Networking",0.06627197832443556,0.06627197832443556
"Skills_NLP, TensorFlow, Python",0.06470689682097316,0.06470689682097316
"Skills_Java, React, SQL, C++",-0.059522202322482835,0.059522202322482835
"Skills_Deep Learning, Machine Learning, Python, SQL",0.05750142086842396,0.05750142086842396
"Skills_C++, React, Java, SQL",0.05603005675687887,0.05603005675687887
"Skills_Networking, Ethical Hacking, Cybersecurity, Linux",0.05455295182668108,0.05455295182668108
"Skills_React, SQL, Java",-0.052368431511026596,0.052368431511026596
"Skills_SQL, Machine Learning, Deep Learning",-0.051114807926509354,0.051114807926509354
"Skills_Ethical Hacking, Linux, Cybersecurity, Networking",-0.05010863525273366,0.05010863525273366
"Skills_Linux, Networking, Cybersecurity, Ethical Hacking",-0.0489789319220563,0.0489789319220563
"Skills_React, Java",-0.04743613178296616,0.04743613178296616
"Skills_Python, TensorFlow, Pytorch",0.04736464467492113,0.04736464467492113
"Skills_Ethical Hacking, Linux, Networking, Cybersecurity",-0.047350777075296134,0.047350777075296134
"Skills_Pytorch, TensorFlow, Python, NLP",-0.0471240972343849,0.0471240972343849
"Skills_SQL, Deep Learning",0.04687143984279791,0.04687143984279791
"Skills_React, Java, C++, SQL",0.044839401022103084,0.044839401022103084
"Skills_Java, SQL",-0.04447674491132235,0.04447674491132235
"Skills_Java, SQL, C++",0.042637454074421384,0.042637454074421384
"Skills_Deep Learning, SQL, Python, Machine Learning",-0.042317658112589966,0.042317658112589966
"Skills_SQL, Machine Learning, Python, Deep Learning",-0.04124751525493846,0.04124751525493846
"Skills_Cybersecurity, Linux, Networking, Ethical Hacking",-0.041158987503922904,0.041158987503922904
"Skills_NLP, Pytorch, TensorFlow",0.04003876533597215,0.04003876533597215
"Skills_React, SQL, C++",-0.03933585740619966,0.03933585740619966
"Skills_Cybersecurity, Networking, Linux, Ethical Hacking",0.03759833518121246,0.03759833518121246
"Skills_Ethical Hacking, Networking, Linux, Cybersecurity",0.03693922556201215,0.03693922556201215
"Skills_C++, SQL, Java",0.036707937812673286,0.036707937812673286
"Skills_Cybersecurity, Networking, Ethical Hacking",-0.035683768990423456,0.035683768990423456
"Skills_React, C++",-0.0356543107790755,0.0356543107790755
"Skills_SQL, Machine Learning, Deep Learning, Python",-0.03555765181149701,0.03555765181149701
"Skills_Python, Pytorch, NLP",0.033912278162739604,0.033912278162739604
"Skills_SQL, Java, React, C++",0.03347204421778646,0.03347204421778646
"Skills_NLP, Pytorch, TensorFlow, Python",-0.03254716691198121,0.03254716691198121
"Skills_Python, Machine Learning, SQL",0.0323890568994897,0.0323890568994897
"Skills_Pytorch, TensorFlow, NLP, Python",-0.03145088235451291,0.03145088235451291
"Skills_Pytorch, TensorFlow, Python",0.028508225343975787,0.028508225343975787
"Skills_Python, TensorFlow, Pytorch, NLP",-0.028422037681952863,0.028422037681952863
"Skills_NLP, Python, TensorFlow",0.027831189759716896,0.027831189759716896
"Skills_Cybersecurity, Ethical Hacking, Networking",0.027740324132195262,0.027740324132195262
"Skills_Python, Pytorch",0.027230023356368576,0.027230023356368576
"Skills_React, Java, C++",-0.02464178638139622,0.02464178638139622
"Skills_C++, Java, SQL",-0.023831327121710603,0.023831327121710603
"Skills_Machine Learning, Deep Learning",-0.023441456432078234,0.023441456432078234
"Skills_TensorFlow, NLP, Pytorch, Python",-0.023006478556108694,0.023006478556108694
"Skills_React, C++, Java, SQL",-0.021980971067033808,0.021980971067033808
"Skills_NLP, Python",-0.02016266258656194,0.02016266258656194
"Skills_SQL, Java, C++, React",0.019183328954371234,0.019183328954371234
"Skills_Python, TensorFlow, NLP, Pytorch",-0.01913605511018683,0.01913605511018683
"Skills_Networking, Linux, Cybersecurity",0.01736883421089364,0.01736883421089364
"Skills_Networking, Cybersecurity, Linux, Ethical Hacking",-0.016609372814910567,0.016609372814910567
"Skills_Java, React, C++, SQL",-0.015667408018899716,0.015667408018899716
"Skills_Cybersecurity, Linux, Ethical Hacking, Networking",-0.015428338826520489,0.015428338826520489
"Skills_SQL, Java, C++",0.015256235128866456,0.015256235128866456
"Skills_NLP, TensorFlow, Pytorch",-0.015156941419492352,0.015156941419492352
"Skills_Networking, Linux, Cybersecurity, Ethical Hacking",-0.014549022183500638,0.014549022183500638
"Skills_Networking, Ethical Hacking, Linux",-0.014499694678963468,0.014499694678963468
"Skills_C++, Java, SQL, React",0.014460290618020132,0.014460290618020132
"Skills_React, SQL",-0.014359806418391938,0.014359806418391938
"Skills_NLP, Pytorch, Python",0.014171323470155907,0.014171323470155907
"Skills_TensorFlow, Pytorch, NLP",-0.013820728416801945,0.013820728416801945
"Skills_Python, NLP",0.013802845442477599,0.013802845442477599
"Skills_Pytorch, Python, TensorFlow, NLP",-0.013174706684833459,0.013174706684833459
"Skills_Machine Learning, Python, SQL, Deep Learning",-0.012679263721950223,0.012679263721950223
"Skills_TensorFlow, NLP, Pytorch",0.012487624485430006,0.012487624485430006
"Skills_Python, Pytorch, NLP, TensorFlow",-0.012387938621745292,0.012387938621745292
"Skills_SQL, Python, Deep Learning",-0.010668091577490045,0.010668091577490045
"Skills_SQL, Python, Deep Learning, Machine Learning",-0.010549827176491096,0.010549827176491096
"Skills_TensorFlow, NLP, Python, Pytorch",-0.010360166341846886,0.010360166341846886
"Skills_Python, SQL, Deep Learning",-0.010350611714578104,0.010350611714578104
"Skills_SQL, Deep Learning, Python",-0.010205988062092454,0.010205988062092454
"Skills_NLP, TensorFlow",-0.009181100273187205,0.009181100273187205
"Skills_Python, Deep Learning, SQL",-0.009152259591874936,0.009152259591874936
"Skills_Java, SQL, React",-0.00874631720611685,0.00874631720611685
"Skills_C++, React, SQL",-0.00860424181500425,0.00860424181500425
"Skills_C++, React, Java",-0.008373619001632917,0.008373619001632917
"Skills_Pytorch, Python, NLP, TensorFlow",-0.00815151745219461,0.00815151745219461
"Skills_Machine Learning, Deep Learning, Python",-0.007915039204333708,0.007915039204333708
"Skills_Java, React",-0.007776313843564642,0.007776313843564642
"Skills_Java, C++, SQL, React",-0.007745771002004856,0.007745771002004856
"Skills_Cybersecurity, Linux",0.007431088491266594,0.007431088491266594
"Skills_SQL, C++, Java",0.0072581354477927506,0.0072581354477927506
"Skills_Machine Learning, Python, Deep Learning, SQL",-0.007143349881836578,0.007143349881836578
"Skills_Deep Learning, Python, Machine Learning",-0.006851016349616922,0.006851016349616922
"Skills_Networking, Cybersecurity, Linux",-0.006846204768870337,0.006846204768870337
"Skills_SQL, Deep Learning, Python, Machine Learning",-0.00656241581786745,0.00656241581786745
"Skills_Machine Learning, Deep Learning, SQL",-0.006469683506008595,0.006469683506008595
"Skills_Networking, Linux, Ethical Hacking",0.006468785085674519,0.006468785085674519
"Skills_NLP, TensorFlow, Pytorch, Python",-0.006435783759033549,0.006435783759033549
"Skills_Java, C++",-0.006172479136423575,0.006172479136423575
"Skills_Python, Machine Learning, Deep Learning, SQL",-0.006048806701478695,0.006048806701478695
"Skills_Ethical Hacking, Networking",-0.006031132920676149,0.006031132920676149
"Skills_Python, Machine Learning",-0.005828979948144285,0.005828979948144285
"Skills_NLP, Python, Pytorch",0.005761146361237703,0.005761146361237703
"Skills_SQL, Python, Machine Learning",-0.005589870957462655,0.005589870957462655
"Skills_Python, SQL, Deep Learning, Machine Learning",-0.005001241241497554,0.005001241241497554
"Skills_Java, SQL, React, C++",-0.004939079983554432,0.004939079983554432
"Skills_Linux, Ethical Hacking, Networking",-0.004886864451240271,0.004886864451240271
"Skills_NLP, Pytorch",0.004424316405801407,0.004424316405801407
"Skills_Pytorch, NLP, TensorFlow",-0.004368907008409372,0.004368907008409372
"Skills_TensorFlow, Pytorch, NLP, Python",-0.0041989777954666565,0.0041989777954666565
"Skills_Machine Learning, SQL",-0.003993471215642246,0.003993471215642246
"Skills_TensorFlow, Python, Pytorch",-0.0033410385389465863,0.0033410385389465863
"Skills_SQL, React, C++, Java",-0.0032973461150376015,0.0032973461150376015
"Skills_C++, Java, React, SQL",-0.002970328549792134,0.002970328549792134
"Skills_Ethical Hacking, Networking, Cybersecurity, Linux",-0.0029351252073579344,0.0029351252073579344
"Skills_C++, SQL, React, Java",-0.002909565346780183,0.002909565346780183
"Skills_C++, SQL, React",-0.0027991571850916152,0.0027991571850916152
"Skills_Java, C++, React, SQL",-0.0027772838104349116,0.0027772838104349116
"Skills_React, Java, SQL, C++",-0.0025840529770965576,0.0025840529770965576
"Skills_React, C++, SQL, Java",-0.002487773251381481,0.002487773251381481
"Skills_Java, C++, SQL",0.0022185269630542737,0.0022185269630542737
"Skills_React, Java, SQL",-0.001923244279953464,0.001923244279953464
"Skills_Python, Pytorch, TensorFlow, NLP",-0.0017914409672524334,0.0017914409672524334
"Skills_Networking, Ethical Hacking, Cybersecurity",-0.0017812059952028803,0.0017812059952028803
"Skills_Linux, Networking, Ethical Hacking",-0.0016069076471678164,0.0016069076471678164
"Skills_Java, C++, React",-0.0015286591969317412,0.0015286591969317412
"Skills_Machine Learning, SQL, Deep Learning",-0.0014581017466903012,0.0014581017466903012
"Skills_SQL, React",-0.0014274766453332972,0.0014274766453332972
"Skills_Deep Learning, SQL, Python",-0.0013466617290700167,0.0013466617290700167
"Skills_Machine Learning, Deep Learning, Python, SQL",-0.001342165093741199,0.001342165093741199
"Skills_TensorFlow, Pytorch, Python",-0.0012959527880416681,0.0012959527880416681
"Skills_NLP, Python, TensorFlow, Pytorch",-0.0012530383656780637,0.0012530383656780637
"Skills_SQL, React, Java",0.001085296769100073,0.001085296769100073
"Skills_Linux, Ethical Hacking, Cybersecurity, Networking",-0.0009637204979318692,0.0009637204979318692
"Skills_Python, NLP, Pytorch, TensorFlow",0.0009446056600711272,0.0009446056600711272
"Skills_Linux, Networking, Ethical Hacking, Cybersecurity",-0.0008831169323012335,0.0008831169323012335
"Skills_SQL, React, C++",-0.0008798054404199671,0.0008798054404199671
"Skills_C++, React, SQL, Java",0.000858759670336321,0.000858759670336321
"Skills_React, C++, Java",-0.0008537910761416779,0.0008537910761416779
"Skills_React, SQL, C++, Java",-0.0007472902655021915,0.0007472902655021915
"Skills_Networking, Cybersecurity, Ethical Hacking",-0.0006990401978892572,0.0006990401978892572
"Skills_C++, Java, React",-0.0006555924769582101,0.0006555924769582101
"Skills_Linux, Ethical Hacking, Networking, Cybersecurity",-0.00021991740276524295,0.00021991740276524295
"Skills_Ethical Hacking, Linux, Cybersecurity",-0.00016328570093509503,0.00016328570093509503
"Skills_Pytorch, NLP, TensorFlow, Python",-0.00013694093373356798,0.00013694093373356798
"Skills_Python, NLP, TensorFlow, Pytorch",-9.799495339286476e-05,9.799495339286476e-05
"Skills_NLP, Pytorch, Python, TensorFlow",-8.719118067703964e-05,8.719118067703964e-05
Salary Expectation ($),-3.606284386522185e-06,3.606284386522185e-06
"Skills_C++, SQL, Java, React",0.0,0.0
"Skills_Ethical Hacking, Cybersecurity, Networking",0.0,0.0
"Skills_Linux, Cybersecurity, Networking, Ethical Hacking",0.0,0.0
"Skills_Linux, Cybersecurity, Ethical Hacking, Networking",0.0,0.0
"Skills_Ethical Hacking, Cybersecurity, Linux, Networking",0.0,0.0
"Skills_Python, Machine Learning, SQL, Deep Learning",0.0,0.0
"Skills_Python, TensorFlow, NLP",0.0,0.0
"Skills_Python, SQL, Machine Learning, Deep Learning",0.0,0.0
"Skills_SQL, C++, React, Java",0.0,0.0
"Skills_SQL, React, Java, C++",0.0,0.0
